,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0,2856,51,10,256,43,3427,225,218,126,2783,T1,T12
1,2810,96,15,192,19,2550,242,218,101,1762,T1,T29
2,3129,64,8,330,40,5218,228,224,129,553,T1,T29
3,2806,29,14,201,29,1574,214,208,127,2602,T3,T26
4,3255,133,19,558,32,2970,246,227,101,3207,T3,T32
5,2711,51,12,390,3,1044,226,213,119,2089,T1,T29
6,3064,167,12,60,12,503,230,244,144,771,T3,T23
7,3191,42,7,524,74,895,221,225,139,2183,T3,T22
8,3121,322,3,247,26,5525,212,236,162,1231,T1,T29
9,2975,195,7,30,7,4303,219,246,162,2161,T1,T29
10,3080,88,17,42,5,1570,243,210,90,3112,T3,T23
11,2713,138,34,60,-15,2755,248,205,55,1642,T3,T13
12,2063,77,27,170,42,547,242,180,51,642,T4,T6
13,2870,4,23,42,8,242,182,187,136,95,T3,T33
14,3264,195,25,30,4,2464,206,251,165,3688,T2,T23
15,3091,103,14,516,28,480,242,222,106,1266,T3,T32
16,3039,149,1,150,16,3055,221,238,154,1282,T3,T32
17,2716,194,23,391,-19,1126,209,251,165,834,T3,T3
18,3000,197,25,457,184,1396,204,252,169,234,T3,T13
19,3113,88,23,277,69,4114,247,196,66,2760,T1,T30
20,3156,7,10,495,40,1879,208,220,149,2640,T3,T31
21,2413,117,23,216,-30,618,252,211,73,553,T4,T1
22,3080,351,21,890,-35,1050,178,200,157,1528,T3,T24
23,3443,51,25,127,6,3391,223,177,75,2650,T1,T37
24,2949,58,18,124,32,2101,230,198,94,2200,T3,T32
25,2491,291,12,234,55,309,186,238,192,1952,T4,T10
26,2590,69,7,360,81,1200,228,226,131,1622,T3,T11
27,3031,115,4,725,66,5667,227,236,144,5904,T1,T12
28,2878,300,21,85,14,1557,156,226,208,1296,T1,T29
29,2809,192,15,335,28,1577,218,251,163,1317,T3,T4
30,2699,232,28,192,99,2942,164,251,213,1371,T3,T4
31,2984,0,7,376,107,664,210,228,155,1687,T3,T31
32,2865,198,2,212,16,3246,218,241,159,3037,T1,T12
33,3393,346,11,722,165,2130,199,223,162,1146,T3,T32
34,2936,45,5,180,23,4628,221,229,144,3861,T1,T23
35,3199,105,17,607,161,532,246,218,95,1806,T1,T23
36,2850,42,12,162,37,3414,222,214,126,2743,T1,T12
37,2369,351,18,182,86,1236,186,207,158,1087,T4,T11
38,3061,44,14,272,77,1797,222,209,118,3602,T3,T33
39,2854,42,12,127,7,3231,222,213,124,4765,T1,T12
40,2985,236,5,488,76,5823,211,245,172,3006,T1,T29
41,3101,90,2,30,-3,5240,223,235,148,685,T1,T29
42,3313,131,18,722,30,1006,246,227,102,5490,T2,T40
43,2968,242,8,560,70,5810,205,247,180,5954,T1,T29
44,2849,71,17,511,115,300,237,204,93,1008,T3,T11
45,3194,181,14,247,31,2783,224,248,153,993,T3,T32
46,2409,334,23,134,20,1084,161,203,178,1140,T4,T10
47,3168,95,6,30,0,4884,229,231,136,1239,T1,T29
48,2697,174,7,60,7,1741,225,244,153,3903,T1,T12
49,2498,310,12,90,13,382,186,231,185,576,T4,T10
50,2771,298,17,60,14,1959,169,232,202,3287,T1,T30
51,2988,34,11,297,51,3837,219,216,132,1436,T1,T29
52,2755,315,4,108,9,1648,209,236,166,2502,T1,T12
53,3098,358,14,201,3,1369,198,213,153,430,T3,T24
54,3230,84,5,270,-11,6064,227,231,139,579,T1,T23
55,2975,302,4,509,59,5444,207,238,169,4230,T1,T29
56,3034,75,13,404,59,4102,236,215,108,4937,T1,T20
57,3278,330,13,42,8,3205,188,224,175,2506,T3,T24
58,2958,59,6,108,2,932,224,228,139,1570,T3,T33
59,3016,41,15,446,157,1756,221,206,117,2904,T3,T24
