X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
3215.0,206.0,8.0,127.0,14.0,5588.0,215.0,248.0,168.0,1057.0,T1,T29,1.0
3022.0,18.0,7.0,0.0,0.0,3012.0,215.0,226.0,148.0,1476.0,T1,T23,1.0
3008.0,18.0,19.0,382.0,92.0,4715.0,201.0,197.0,127.0,3616.0,T1,T29,1.0
2595.0,296.0,24.0,85.0,28.0,1252.0,144.0,224.0,216.0,780.0,T3,T33,6.0
3261.0,87.0,4.0,42.0,-2.0,3719.0,226.0,233.0,142.0,3784.0,T1,T38,7.0
3006.0,88.0,9.0,134.0,26.0,1643.0,234.0,226.0,124.0,1920.0,T1,T30,2.0
2562.0,319.0,29.0,295.0,132.0,722.0,134.0,200.0,200.0,1138.0,T3,T33,2.0
3118.0,86.0,10.0,175.0,16.0,5255.0,234.0,224.0,120.0,1999.0,T1,T29,1.0
3096.0,253.0,10.0,242.0,29.0,5725.0,198.0,247.0,187.0,2151.0,T1,T22,2.0
2956.0,297.0,21.0,201.0,45.0,5728.0,157.0,228.0,210.0,1168.0,T1,T29,2.0
2808.0,117.0,8.0,474.0,20.0,902.0,234.0,233.0,131.0,1299.0,T3,T11,1.0
2850.0,1.0,16.0,90.0,29.0,2376.0,194.0,207.0,148.0,2708.0,T1,T29,1.0
2434.0,324.0,29.0,330.0,175.0,510.0,135.0,196.0,193.0,577.0,T4,T10,3.0
3336.0,108.0,5.0,446.0,122.0,1549.0,228.0,234.0,141.0,2821.0,T1,T29,1.0
2815.0,104.0,11.0,150.0,17.0,741.0,239.0,226.0,117.0,573.0,T1,T23,2.0
2893.0,315.0,28.0,162.0,92.0,4747.0,136.0,205.0,203.0,4897.0,T1,T29,1.0
2709.0,135.0,2.0,255.0,0.0,2018.0,222.0,238.0,151.0,4264.0,T1,T12,2.0
2982.0,316.0,22.0,470.0,251.0,2844.0,155.0,215.0,197.0,437.0,T3,T33,2.0
2517.0,101.0,7.0,60.0,5.0,234.0,233.0,230.0,130.0,1666.0,T4,T6,6.0
3308.0,44.0,17.0,408.0,74.0,1620.0,221.0,200.0,107.0,2250.0,T1,T39,1.0
2319.0,344.0,21.0,182.0,95.0,228.0,173.0,203.0,165.0,1128.0,T4,T10,3.0
2624.0,69.0,22.0,216.0,87.0,418.0,237.0,191.0,74.0,1549.0,T3,T10,3.0
3079.0,113.0,19.0,150.0,34.0,3142.0,249.0,217.0,88.0,2661.0,T1,T29,1.0
2588.0,30.0,24.0,180.0,40.0,297.0,205.0,181.0,101.0,1409.0,T3,T10,6.0
2940.0,19.0,16.0,324.0,-22.0,1421.0,207.0,204.0,131.0,1687.0,T1,T29,1.0
3058.0,2.0,6.0,30.0,2.0,4267.0,212.0,229.0,154.0,2347.0,T1,T23,2.0
2970.0,79.0,15.0,67.0,8.0,1950.0,239.0,211.0,99.0,2561.0,T3,T23,1.0
2605.0,45.0,7.0,30.0,-1.0,636.0,222.0,225.0,138.0,1556.0,T1,T20,2.0
3274.0,96.0,19.0,497.0,156.0,4280.0,247.0,209.0,84.0,1176.0,T1,T29,2.0
3207.0,175.0,12.0,216.0,22.0,2962.0,226.0,246.0,151.0,1074.0,T3,T32,2.0
3147.0,206.0,21.0,170.0,53.0,3153.0,202.0,254.0,179.0,1044.0,T3,T33,1.0
3103.0,162.0,4.0,418.0,26.0,2624.0,223.0,240.0,152.0,1909.0,T3,T32,1.0
2882.0,77.0,14.0,42.0,5.0,1830.0,237.0,212.0,103.0,1440.0,T3,T31,1.0
2972.0,23.0,10.0,268.0,27.0,765.0,214.0,219.0,140.0,1940.0,T1,T29,2.0
2399.0,319.0,18.0,67.0,8.0,860.0,172.0,221.0,188.0,1006.0,T4,T10,6.0
2885.0,45.0,23.0,488.0,103.0,1182.0,219.0,184.0,89.0,2162.0,T3,T33,2.0
2996.0,94.0,7.0,218.0,34.0,1549.0,232.0,229.0,130.0,1945.0,T1,T22,2.0
3326.0,175.0,12.0,1106.0,210.0,2564.0,226.0,246.0,151.0,2132.0,T3,T31,7.0
3272.0,15.0,15.0,787.0,121.0,2376.0,206.0,209.0,138.0,2233.0,T3,T38,7.0
2715.0,32.0,10.0,30.0,-2.0,1465.0,218.0,218.0,134.0,2280.0,T1,T12,2.0
2988.0,93.0,5.0,67.0,12.0,4962.0,228.0,232.0,138.0,1240.0,T1,T29,2.0
3136.0,340.0,13.0,511.0,61.0,1784.0,192.0,221.0,167.0,2663.0,T3,T32,1.0
2695.0,153.0,8.0,124.0,11.0,1045.0,230.0,241.0,143.0,518.0,T3,T2,3.0
3076.0,45.0,4.0,495.0,-25.0,2681.0,221.0,230.0,145.0,853.0,T3,T23,1.0
3091.0,43.0,11.0,42.0,0.0,2750.0,222.0,215.0,126.0,3111.0,T3,T31,2.0
3227.0,164.0,6.0,362.0,25.0,2656.0,226.0,242.0,150.0,1221.0,T3,T31,2.0
2971.0,54.0,6.0,201.0,26.0,4052.0,224.0,227.0,138.0,1954.0,T1,T23,2.0
3278.0,235.0,19.0,212.0,57.0,2052.0,185.0,253.0,201.0,3328.0,T1,T29,1.0
3113.0,349.0,20.0,309.0,59.0,3900.0,179.0,202.0,158.0,641.0,T3,T24,1.0
3205.0,69.0,15.0,503.0,63.0,2931.0,235.0,208.0,100.0,4311.0,T1,T39,1.0
3111.0,107.0,21.0,127.0,24.0,3996.0,250.0,211.0,79.0,2123.0,T1,T29,1.0
2613.0,32.0,14.0,150.0,5.0,1939.0,216.0,210.0,126.0,2132.0,T3,T10,6.0
2838.0,60.0,20.0,330.0,90.0,437.0,231.0,194.0,87.0,1411.0,T1,T30,5.0
3168.0,134.0,32.0,510.0,91.0,1075.0,250.0,208.0,60.0,2263.0,T1,T29,1.0
2663.0,58.0,13.0,551.0,26.0,824.0,229.0,211.0,113.0,1144.0,T3,T11,3.0
2619.0,101.0,13.0,67.0,8.0,1814.0,242.0,222.0,108.0,732.0,T3,T11,2.0
3034.0,54.0,14.0,30.0,10.0,1234.0,228.0,208.0,111.0,1382.0,T3,T23,2.0
