id,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7
0,0.212,0.788,0.0,0.0,0.0,0.0,0.0
1,0.064,0.934,0.0,0.0,0.002,0.0,0.0
2,0.77,0.23,0.0,0.0,0.0,0.0,0.0
3,0.19,0.772,0.002,0.0,0.006,0.03,0.0
4,0.122,0.858,0.0,0.0,0.0,0.0,0.02
5,0.11,0.884,0.0,0.0,0.006,0.0,0.0
6,0.072,0.928,0.0,0.0,0.0,0.0,0.0
7,0.476,0.51,0.0,0.0,0.0,0.0,0.014
8,0.684,0.316,0.0,0.0,0.0,0.0,0.0
9,0.098,0.898,0.0,0.0,0.004,0.0,0.0
10,0.644,0.356,0.0,0.0,0.0,0.0,0.0
11,0.038,0.75,0.194,0.0,0.002,0.016,0.0
12,0.0,0.0,0.598,0.056,0.0,0.346,0.0
13,0.194,0.736,0.014,0.0,0.028,0.028,0.0
14,0.788,0.07,0.0,0.0,0.0,0.0,0.142
15,0.376,0.624,0.0,0.0,0.0,0.0,0.0
16,0.192,0.808,0.0,0.0,0.0,0.0,0.0
17,0.016,0.934,0.002,0.0,0.026,0.022,0.0
18,0.038,0.94,0.002,0.0,0.018,0.002,0.0
19,0.306,0.678,0.0,0.0,0.0,0.0,0.016
20,0.958,0.042,0.0,0.0,0.0,0.0,0.0
21,0.0,0.022,0.822,0.006,0.0,0.15,0.0
22,0.588,0.408,0.0,0.0,0.0,0.002,0.002
23,0.512,0.002,0.0,0.0,0.0,0.0,0.486
24,0.544,0.356,0.0,0.0,0.094,0.006,0.0
25,0.0,0.014,0.838,0.088,0.0,0.06,0.0
26,0.008,0.704,0.054,0.0,0.218,0.016,0.0
27,0.06,0.94,0.0,0.0,0.0,0.0,0.0
28,0.188,0.766,0.0,0.0,0.044,0.0,0.002
29,0.098,0.728,0.018,0.0,0.142,0.014,0.0
30,0.024,0.786,0.186,0.0,0.004,0.0,0.0
31,0.316,0.67,0.0,0.0,0.01,0.002,0.002
32,0.066,0.934,0.0,0.0,0.0,0.0,0.0
33,0.564,0.004,0.0,0.0,0.0,0.0,0.432
34,0.342,0.646,0.0,0.0,0.012,0.0,0.0
35,0.266,0.73,0.0,0.0,0.0,0.0,0.004
36,0.262,0.738,0.0,0.0,0.0,0.0,0.0
37,0.0,0.002,0.728,0.172,0.0,0.098,0.0
38,0.86,0.126,0.0,0.0,0.0,0.0,0.014
39,0.036,0.964,0.0,0.0,0.0,0.0,0.0
40,0.082,0.918,0.0,0.0,0.0,0.0,0.0
41,0.792,0.208,0.0,0.0,0.0,0.0,0.0
42,0.796,0.2,0.0,0.0,0.0,0.0,0.004
43,0.022,0.978,0.0,0.0,0.0,0.0,0.0
44,0.058,0.926,0.002,0.0,0.014,0.0,0.0
45,0.798,0.202,0.0,0.0,0.0,0.0,0.0
46,0.0,0.006,0.556,0.002,0.0,0.436,0.0
47,0.786,0.214,0.0,0.0,0.0,0.0,0.0
48,0.01,0.986,0.0,0.0,0.002,0.002,0.0
49,0.0,0.428,0.444,0.006,0.0,0.122,0.0
50,0.082,0.91,0.0,0.0,0.008,0.0,0.0
51,0.058,0.942,0.0,0.0,0.0,0.0,0.0
52,0.014,0.986,0.0,0.0,0.0,0.0,0.0
53,0.568,0.43,0.0,0.0,0.0,0.0,0.002
54,0.994,0.006,0.0,0.0,0.0,0.0,0.0
55,0.088,0.912,0.0,0.0,0.0,0.0,0.0
56,0.288,0.712,0.0,0.0,0.0,0.0,0.0
57,0.57,0.156,0.0,0.0,0.0,0.0,0.274
58,0.21,0.698,0.002,0.0,0.086,0.004,0.0
59,0.484,0.514,0.0,0.0,0.002,0.0,0.0
60,0.902,0.092,0.0,0.0,0.0,0.0,0.006
61,0.008,0.958,0.0,0.0,0.018,0.016,0.0
62,0.896,0.104,0.0,0.0,0.0,0.0,0.0
63,0.012,0.974,0.0,0.0,0.014,0.0,0.0
64,0.176,0.824,0.0,0.0,0.0,0.0,0.0
65,0.722,0.018,0.0,0.0,0.0,0.0,0.26
66,0.184,0.8,0.0,0.0,0.016,0.0,0.0
67,0.826,0.174,0.0,0.0,0.0,0.0,0.0
68,0.928,0.008,0.0,0.0,0.0,0.0,0.064
69,0.0,0.002,0.544,0.072,0.0,0.382,0.0
70,0.274,0.004,0.0,0.0,0.0,0.0,0.722
71,0.0,0.046,0.45,0.042,0.0,0.462,0.0
72,0.42,0.58,0.0,0.0,0.0,0.0,0.0
73,0.504,0.492,0.0,0.0,0.002,0.0,0.002
74,0.026,0.002,0.0,0.0,0.0,0.0,0.972
75,0.004,0.994,0.002,0.0,0.0,0.0,0.0
76,0.418,0.004,0.0,0.0,0.0,0.0,0.578
77,0.02,0.304,0.292,0.0,0.0,0.384,0.0
78,0.0,0.058,0.706,0.172,0.0,0.064,0.0
79,0.188,0.812,0.0,0.0,0.0,0.0,0.0
80,0.17,0.786,0.01,0.0,0.034,0.0,0.0
81,0.002,0.066,0.576,0.0,0.0,0.356,0.0
82,0.852,0.062,0.0,0.0,0.0,0.0,0.086
83,0.872,0.122,0.0,0.0,0.0,0.0,0.006
84,0.0,0.002,0.546,0.418,0.0,0.034,0.0
85,0.918,0.074,0.0,0.0,0.0,0.0,0.008
86,0.036,0.428,0.484,0.0,0.016,0.036,0.0
87,0.88,0.114,0.0,0.0,0.0,0.0,0.006
88,0.29,0.706,0.0,0.0,0.004,0.0,0.0
89,0.112,0.87,0.004,0.0,0.008,0.006,0.0
90,0.0,0.0,0.682,0.052,0.0,0.266,0.0
91,0.108,0.834,0.004,0.0,0.012,0.032,0.01
92,0.602,0.398,0.0,0.0,0.0,0.0,0.0
93,0.91,0.008,0.0,0.0,0.0,0.0,0.082
94,0.028,0.392,0.068,0.0,0.498,0.014,0.0
95,0.05,0.868,0.0,0.0,0.01,0.072,0.0
96,0.068,0.872,0.0,0.0,0.058,0.002,0.0
97,0.778,0.054,0.0,0.0,0.0,0.0,0.168
98,0.238,0.752,0.002,0.0,0.006,0.002,0.0
99,0.37,0.63,0.0,0.0,0.0,0.0,0.0
100,0.97,0.006,0.0,0.0,0.0,0.0,0.024
101,0.132,0.864,0.002,0.0,0.002,0.0,0.0
102,0.104,0.896,0.0,0.0,0.0,0.0,0.0
103,0.144,0.778,0.03,0.002,0.04,0.002,0.004
104,0.078,0.922,0.0,0.0,0.0,0.0,0.0
105,0.076,0.924,0.0,0.0,0.0,0.0,0.0
106,0.086,0.908,0.002,0.0,0.0,0.0,0.004
107,0.346,0.654,0.0,0.0,0.0,0.0,0.0
108,0.944,0.056,0.0,0.0,0.0,0.0,0.0
109,0.224,0.776,0.0,0.0,0.0,0.0,0.0
110,0.502,0.496,0.0,0.0,0.002,0.0,0.0
111,0.828,0.172,0.0,0.0,0.0,0.0,0.0
112,0.37,0.63,0.0,0.0,0.0,0.0,0.0
113,0.646,0.354,0.0,0.0,0.0,0.0,0.0
114,0.006,0.982,0.002,0.0,0.004,0.006,0.0
115,0.0,0.014,0.826,0.01,0.0,0.15,0.0
116,0.808,0.192,0.0,0.0,0.0,0.0,0.0
117,0.026,0.968,0.0,0.0,0.004,0.002,0.0
118,0.0,0.608,0.204,0.0,0.008,0.18,0.0
119,0.898,0.036,0.0,0.0,0.0,0.0,0.066
